video_id,title,description
tg3XM1nPZOU,Intro to AI Agenda,"📚 MLB01 — Intro to AI & Data Science — Intro to AI Agenda

In this video, we cover Intro to AI Agenda as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 1:40

➡️ Next: Why to Learn AI — https://www.youtube.com/watch?v=rXausKocwQ4

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
rXausKocwQ4,Why to Learn AI,"📚 MLB01 — Intro to AI & Data Science — Why to Learn AI

In this video, we cover Why to Learn AI as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 2:57

🔄 Previous: Intro to AI Agenda — https://www.youtube.com/watch?v=tg3XM1nPZOU
➡️ Next: What Is AI — https://www.youtube.com/watch?v=R66xESGVVos

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
R66xESGVVos,What Is AI,"📚 MLB01 — Intro to AI & Data Science — What Is AI

In this video, we cover What Is AI as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 5:06

🔄 Previous: Why to Learn AI — https://www.youtube.com/watch?v=rXausKocwQ4
➡️ Next: Narrow vs General AI — https://www.youtube.com/watch?v=8ZAYl4wNc-Y

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
8ZAYl4wNc-Y,Narrow vs General AI,"📚 MLB01 — Intro to AI & Data Science — Narrow vs General AI

In this video, we cover Narrow vs General AI as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 2:35

🔄 Previous: What Is AI — https://www.youtube.com/watch?v=R66xESGVVos
➡️ Next: Why Is AI on the Rise — https://www.youtube.com/watch?v=FKe3eQmyIpQ

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
FKe3eQmyIpQ,Why Is AI on the Rise,"📚 MLB01 — Intro to AI & Data Science — Why Is AI on the Rise

In this video, we cover Why Is AI on the Rise as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 3:25

🔄 Previous: Narrow vs General AI — https://www.youtube.com/watch?v=8ZAYl4wNc-Y
➡️ Next: What Is Machine Learning — https://www.youtube.com/watch?v=pCj1HM3cJFo

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
pCj1HM3cJFo,What Is Machine Learning,"📚 MLB01 — Intro to AI & Data Science — What Is Machine Learning

In this video, we cover What Is Machine Learning as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 6:39

🔄 Previous: Why Is AI on the Rise — https://www.youtube.com/watch?v=FKe3eQmyIpQ
➡️ Next: ML vs Other Related Fields — https://www.youtube.com/watch?v=MXp1Zxfw3RM

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
MXp1Zxfw3RM,ML vs Other Related Fields,"📚 MLB01 — Intro to AI & Data Science — ML vs Other Related Fields

In this video, we cover ML vs Other Related Fields as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 3:40

🔄 Previous: What Is Machine Learning — https://www.youtube.com/watch?v=pCj1HM3cJFo
➡️ Next: Data Science Life Cycle — https://www.youtube.com/watch?v=ycTTZ6gUVZA

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
ycTTZ6gUVZA,Data Science Life Cycle,"📚 MLB01 — Intro to AI & Data Science — Data Science Life Cycle

In this video, we cover Data Science Life Cycle as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 3:43

🔄 Previous: ML vs Other Related Fields — https://www.youtube.com/watch?v=MXp1Zxfw3RM
➡️ Next: Types of Machine Learning — https://www.youtube.com/watch?v=8YIxk0Puw6E

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
8YIxk0Puw6E,Types of Machine Learning,"📚 MLB01 — Intro to AI & Data Science — Types of Machine Learning

In this video, we cover Types of Machine Learning as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 4:46

🔄 Previous: Data Science Life Cycle — https://www.youtube.com/watch?v=ycTTZ6gUVZA
➡️ Next: Applications of Machine Learning — https://www.youtube.com/watch?v=JGOtIKpzr_I

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
JGOtIKpzr_I,Applications of Machine Learning,"📚 MLB01 — Intro to AI & Data Science — Applications of Machine Learning

In this video, we cover Applications of Machine Learning as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 3:39

🔄 Previous: Types of Machine Learning — https://www.youtube.com/watch?v=8YIxk0Puw6E
➡️ Next: Different Job Roles — https://www.youtube.com/watch?v=BJNJpQARIPU

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
BJNJpQARIPU,Different Job Roles,"📚 MLB01 — Intro to AI & Data Science — Different Job Roles

In this video, we cover Different Job Roles as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/01-intro_to_ai_and_data_science
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 3:42

🔄 Previous: Applications of Machine Learning — https://www.youtube.com/watch?v=JGOtIKpzr_I

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
hKrpuR9jUas,Intro to Programming,"📚 MLB02 — Python Foundations — Intro to Programming

In this video, we cover Intro to Programming as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 13:17

➡️ Next: Simple Arithmetic Operations — https://www.youtube.com/watch?v=uLQNrMofAzc

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
uLQNrMofAzc,Simple Arithmetic Operations,"📚 MLB02 — Python Foundations — Simple Arithmetic Operations

In this video, we cover Simple Arithmetic Operations as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 6:14

🔄 Previous: Intro to Programming — https://www.youtube.com/watch?v=hKrpuR9jUas
➡️ Next: Data Types — https://www.youtube.com/watch?v=CsF8kTH8n9U

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
CsF8kTH8n9U,Data Types,"📚 MLB02 — Python Foundations — Data Types

In this video, we cover Data Types as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 9:40

🔄 Previous: Simple Arithmetic Operations — https://www.youtube.com/watch?v=uLQNrMofAzc
➡️ Next: Assignment — https://www.youtube.com/watch?v=HXG5opfEyRI

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
HXG5opfEyRI,Assignment,"📚 MLB02 — Python Foundations — Assignment

In this video, we cover Assignment as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 7:08

🔄 Previous: Data Types — https://www.youtube.com/watch?v=CsF8kTH8n9U
➡️ Next: String 1 — https://www.youtube.com/watch?v=xsMD1KDqCTo

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
xsMD1KDqCTo,String 1,"📚 MLB02 — Python Foundations — String 1

In this video, we cover String 1 as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 13:02

🔄 Previous: Assignment — https://www.youtube.com/watch?v=HXG5opfEyRI
➡️ Next: String 2 — https://www.youtube.com/watch?v=kUxr9lkiwrI

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
kUxr9lkiwrI,String 2,"📚 MLB02 — Python Foundations — String 2

In this video, we cover String 2 as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 12:05

🔄 Previous: String 1 — https://www.youtube.com/watch?v=xsMD1KDqCTo
➡️ Next: List — https://www.youtube.com/watch?v=LcWGL-kUh6w

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
LcWGL-kUh6w,List,"📚 MLB02 — Python Foundations — List

In this video, we cover List as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 24:54

🔄 Previous: String 2 — https://www.youtube.com/watch?v=kUxr9lkiwrI
➡️ Next: Tuple — https://www.youtube.com/watch?v=khc70_GfCCg

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
khc70_GfCCg,Tuple,"📚 MLB02 — Python Foundations — Tuple

In this video, we cover Tuple as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 4:45

🔄 Previous: List — https://www.youtube.com/watch?v=LcWGL-kUh6w
➡️ Next: Dictionary — https://www.youtube.com/watch?v=Nm8qXwhQDmM

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
Nm8qXwhQDmM,Dictionary,"📚 MLB02 — Python Foundations — Dictionary

In this video, we cover Dictionary as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 8:36

🔄 Previous: Tuple — https://www.youtube.com/watch?v=khc70_GfCCg
➡️ Next: Set — https://www.youtube.com/watch?v=z-yBxIt5CAM

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
z-yBxIt5CAM,Set,"📚 MLB02 — Python Foundations — Set

In this video, we cover Set as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 3:56

🔄 Previous: Dictionary — https://www.youtube.com/watch?v=Nm8qXwhQDmM
➡️ Next: If — https://www.youtube.com/watch?v=ES0YHCcmZck

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
ES0YHCcmZck,If,"📚 MLB02 — Python Foundations — If

In this video, we cover If as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 14:03

🔄 Previous: Set — https://www.youtube.com/watch?v=z-yBxIt5CAM
➡️ Next: While Loop — https://www.youtube.com/watch?v=xYClpet5rDM

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
xYClpet5rDM,While Loop,"📚 MLB02 — Python Foundations — While Loop

In this video, we cover While Loop as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 10:30

🔄 Previous: If — https://www.youtube.com/watch?v=ES0YHCcmZck
➡️ Next: For Loop — https://www.youtube.com/watch?v=CjX2Uyrfm_Y

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
CjX2Uyrfm_Y,For Loop,"📚 MLB02 — Python Foundations — For Loop

In this video, we cover For Loop as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 13:08

🔄 Previous: While Loop — https://www.youtube.com/watch?v=xYClpet5rDM
➡️ Next: List Comprehension — https://www.youtube.com/watch?v=vGWLKtF843I

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
